symbol,name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
DABUR,Dabur India,423.20,39.76,75073.67,1.95,362.00,15.14,3038.02,7.35,20.28
NMDC,NMDC,83.56,9.86,73464.43,3.95,2027.17,37.19,11343.13,61.94,27.58
OIL,Oil India,449.75,11.05,73156.69,2.56,2424.46,60.26,9293.27,5.51,11.56
ICICIPRULI,ICICI Pru Life,500.55,45.16,72619.95,0.33,623.91,61.94,3185.46,-79.69,10.14
TORNTPOWER,Torrent Power,1434.10,31.59,72264.81,1.39,331.49,-69.97,6406.07,-0.78,13.66
YESBANK,Yes Bank,22.95,19.08,72032.62,0.00,1071.81,32.54,8054.49,5.92,5.98
PHOENIXLTD,Phoenix Mills,2010.70,57.94,71914.27,0.12,485.41,50.04,1233.20,21.34,12.83
ATGL,Adani Total Gas,652.85,118.14,71801.10,0.04,133.03,-17.97,1743.48,27.10,15.09
FORTIS,Fortis Health.,948.70,67.78,71622.88,0.11,271.19,22.42,2364.67,17.81,13.45
SUZLON,Suzlon Energy,52.28,22.53,71276.26,0.00,1114.35,-5.74,5493.25,44.94,35.07
POLICYBZR,PB Fintech.,1537.20,106.17,71125.46,0.00,261.16,53.87,2061.33,36.70,10.31
NAM-INDIA,Nippon Life Ind.,1112.50,43.45,71121.67,1.93,503.70,27.16,766.87,26.42,43.80
BIOCON,Biocon,433.65,181.76,70671.69,0.12,198.60,-62.05,4516.60,2.25,3.61
BAJAJHFL,Bajaj Housing,84.19,27.28,70149.93,0.00,669.19,14.06,2902.61,15.92,8.85
IDFCFIRSTB,IDFC First Bank,80.79,42.54,69615.97,0.31,318.94,4.89,10552.77,12.11,5.99
MCX,Multi Comm. Exc.,2730.00,52.28,69612.77,0.22,529.77,291.09,888.94,205.13,71.37
SWIGGY,Swiggy,251.42,,69399.80,0.00,-800.00,25.99,6383.00,44.74,-24.06
PRESTIGE,Prestige Estates,1592.80,57.39,68606.71,0.11,291.80,900.40,4073.80,166.54,10.38
ASTERDM,Aster DM Health.,785.65,167.78,68482.95,0.64,153.58,41.97,1182.38,18.20,11.40
ALKEM,Alkem Lab,5633.50,27.65,67356.94,0.80,251.11,2.04,3603.32,14.62,21.23
SAIL,S A I L,161.45,13.81,66687.33,0.99,1644.05,134.30,26245.67,1.25,7.79
OBEROIRLTY,Oberoi Realty,1821.20,25.01,66219.24,0.44,543.51,29.02,1300.89,31.73,17.28
COFORGE,Coforge,1484.70,40.02,65726.30,1.02,666.20,151.04,4450.50,30.05,23.50
IOB,I O B,33.88,11.33,65241.33,0.00,1659.24,49.34,8777.57,18.85,6.07
UNOMINDA,Uno Minda,1127.00,53.63,65080.55,0.24,351.76,22.39,5336.41,17.85,19.65
BANKINDIA,Bank of India,142.62,5.51,64930.15,3.26,3303.98,49.81,20096.90,8.83,5.93
SCHAEFFLER,Schaeffler India,4107.70,49.73,64204.86,0.85,336.73,13.67,2681.41,17.50,27.90
NATIONALUM,Natl. Aluminium,343.90,10.90,63161.77,3.05,1722.44,-16.68,5012.82,-4.84,39.59
GICRE,General Insuranc,357.50,6.49,62719.80,2.80,2532.59,1.35,13018.27,-1.44,17.35
MAHABANK,Bank of Maha,81.03,8.27,62324.67,2.72,2023.32,34.50,8034.65,13.90,6.03
GLENMARK,Glenmark Pharma.,2192.00,20.96,61858.42,0.11,301.31,51.88,3770.59,15.80,39.77
GODREJPROP,Godrej Propert.,2028.70,37.98,61109.71,0.49,645.44,70.53,3458.13,62.99,7.63
ABBOTINDIA,Abbott India,28005.00,38.47,59510.63,1.87,394.93,7.60,1709.51,6.54,44.80
KALYANKJIL,Kalyan Jewellers,573.55,42.98,59232.81,0.26,409.50,118.27,10274.94,66.22,20.52
JSL,Jindal Stain.,714.25,18.19,58884.17,0.42,834.21,47.20,11337.19,11.17,19.30
SBICARD,SBI Cards,618.75,25.88,58882.88,0.40,664.44,19.51,5040.55,3.36,10.10
COROMANDEL,Coromandel Inter,1980.80,31.29,58436.86,0.56,381.56,-24.59,8164.77,15.94,22.05
BERGEPAINT,Berger Paints,497.95,51.32,58061.11,0.80,335.25,17.33,2868.03,6.07,21.55
HDBFS,HDB FINANC SER,691.50,20.80,57420.55,0.58,785.20,38.31,4937.90,10.58,9.09
LINDEINDIA,Linde India,6731.00,104.33,57401.97,0.06,85.20,-27.74,614.33,3.79,18.23
COLPAL,Colgate-Palmoliv,2086.10,42.22,56738.92,2.44,353.32,3.01,1595.35,9.08,108.02
APARINDS,Apar Inds.,13889.00,46.29,55797.99,0.37,467.45,77.80,6591.06,29.13,31.12
MRF,MRF,130755.00,22.41,55455.07,0.18,702.25,35.50,8044.22,13.70,15.73
RADICO,Radico Khaitan,4091.30,89.16,54816.22,0.22,179.46,94.92,1503.71,15.31,24.15
RBLBANK,RBL Bank,352.90,62.40,54648.61,0.28,253.70,26.64,3840.25,11.60,5.77
THERMAX,Thermax,4514.00,97.21,53787.15,0.31,244.40,17.86,3428.04,12.53,13.94
TIINDIA,Tube Investments,2767.00,81.04,53560.35,0.13,234.01,81.73,6214.74,20.68,17.14
MOTILALOFS,Motil.Oswal.Fin.,871.95,26.51,52504.18,0.69,1273.71,9.56,3425.76,25.16,12.66
FACT,F A C T,809.30,,52367.53,0.02,3.16,-94.51,1483.85,40.88,4.93
MFSL,Max Financial,1515.50,629.55,52302.14,0.00,-31.52,-184.35,10801.94,-12.72,2.95
543225,Altius Telecom,171.00,48.67,52110.54,9.20,309.80,85.40,6021.20,1.38,8.60
KRT,Knowledge Realty,116.69,143.49,51745.01,4.07,107.37,,1196.55,,5.22
UPL,UPL,602.45,28.19,50841.06,1.00,1294.00,-0.46,18335.00,17.74,10.11
APLAPOLLO,APL Apollo Tubes,1822.80,42.07,50611.57,0.32,354.35,20.89,6269.16,13.81,31.64
VMM,Vishal Mega Mart,108.04,56.74,50609.27,0.00,258.77,25.57,3727.01,18.68,14.79
TATACOMM,Tata Comm,1775.30,48.63,50599.02,0.99,129.72,-25.37,6582.82,10.45,14.63
FLUOROCHEM,Gujarat Fluoroch,4573.70,85.43,50242.09,0.07,109.00,-41.93,1369.00,11.76,9.86
M&MFIN,M & M Fin. Serv.,356.50,14.78,49552.47,2.10,927.48,75.43,5717.91,14.57,8.72
SUNDARMFIN,Sundaram Finance,4447.80,23.44,49416.77,0.90,554.17,1.41,2560.40,13.34,9.44
ATHERENERG,Ather Energy,1208.70,,47637.93,0.00,-100.23,57.23,1174.66,73.75,-19.77
AEGISLOG,Aegis Logistics,1349.60,54.49,47370.96,0.64,454.62,45.69,2594.39,52.16,13.33
PIRAMALFIN,Piramal Finance.,2085.40,105.30,47271.37,0.53,460.98,66.80,3368.27,27.62,6.47
RVNL,Rail Vikas,224.53,53.52,46814.96,0.77,181.66,-58.92,6695.91,4.18,10.80
HINDCOPPER,Hindustan Copper,483.15,47.20,46721.77,0.30,444.06,133.05,1156.08,58.06,42.40
KEI,KEI Industries,4868.00,50.67,46538.37,0.09,284.31,25.50,3476.40,19.27,20.07
PREMIERENE,Premier Energies,1019.30,30.65,46271.28,0.10,456.84,64.44,2230.30,37.60,33.32
BDL,Bharat Dynamics,1243.00,108.40,45563.72,0.37,113.18,-58.51,480.20,-72.98,13.84
AIIL,Authum Invest,531.10,21.55,45102.37,0.04,1114.81,18.43,1448.22,19.65,13.76
PAGEIND,Page Industries,40275.00,56.87,44922.23,2.23,178.73,8.98,1252.60,14.07,64.39
GODREJIND,Godrej Industrie,1332.20,45.44,44875.30,0.00,840.92,143.11,7693.72,33.12,8.17
360ONE,360 ONE,1102.30,35.54,44851.39,1.09,330.53,16.11,1226.09,34.52,12.13
IPCALAB,Ipca Labs.,1762.70,37.94,44720.44,0.34,306.69,80.90,2388.48,6.31,16.98
SONACOMS,Sona BLW Precis.,717.95,57.50,44706.54,0.47,220.11,73.37,1157.24,50.82,15.11
SUPREMEIND,Supreme Inds.,3458.90,47.10,43937.32,1.04,433.57,47.50,3527.66,16.54,20.73
VOLTAS,Voltas,1327.30,111.80,43918.33,0.30,113.43,-51.80,4887.83,2.52,9.04
MPHASIS,Mphasis,2288.10,22.56,43673.52,2.71,489.51,10.82,4384.05,17.46,22.09
JKCEMENT,J K Cements,5649.00,44.70,43648.83,0.35,274.62,-14.47,4031.72,20.26,15.10
ANTHEM,Anthem Bioscienc,769.90,73.08,43360.39,0.26,119.94,-11.67,418.22,-22.58,30.37
AIAENG,AIA Engineering,4583.00,33.60,42768.73,0.35,393.33,37.88,1266.27,9.44,21.09
GLAXO,Glaxosmi. Pharma,2514.30,44.27,42593.76,2.27,277.86,5.70,995.30,2.15,61.41
WELCORP,Welspun Corp,1596.90,18.24,42124.73,0.31,1047.88,198.64,4081.12,14.91,22.89
AJANTPHARM,Ajanta Pharma,3369.50,37.30,42097.06,0.83,266.70,18.40,1421.64,21.47,34.51
CPPLUS,Aditya Infotech,3543.40,113.56,41759.14,0.05,169.13,207.73,1422.03,45.49,28.56
EMBASSY,Embassy Off.REIT,437.98,151.21,41515.85,0.19,-430.02,-77.05,1204.68,10.95,5.61
PIIND,P I Industries,2731.20,34.49,41437.25,0.55,200.20,-39.02,1565.20,-12.42,14.99
PETRONET,Petronet LNG,274.70,10.53,41205.00,3.64,1370.74,25.19,9442.09,-23.33,22.74
NLCINDIA,NLC India,292.80,11.53,40600.72,1.23,1481.45,189.12,5042.46,31.45,10.45
POONAWALLA,Poonawalla Fin,459.70,51.44,40477.15,0.00,307.71,391.55,2330.22,77.34,7.51
NH,Narayana Hrudaya,1961.50,47.06,40085.37,0.23,223.99,12.47,2593.81,75.80,15.36
3MINDIA,3M India,35500.00,73.78,40008.50,0.45,215.34,159.73,1399.24,16.78,50.05
HSCL,Himadri Special,789.55,49.85,39836.08,0.10,228.43,26.33,1431.88,28.04,22.12
IRCTC,I R C T C,495.05,28.67,39604.00,1.72,326.57,-0.44,1459.72,15.07,46.09
ASTRAL,Astral,1468.10,71.55,39440.53,0.26,213.00,21.24,2088.50,24.21,19.86
GLAND,Gland Pharma,2379.80,37.60,39257.11,0.84,366.68,96.57,1742.79,22.31,15.14
HUDCO,H U D C O,195.54,9.70,39145.15,2.33,1981.31,172.26,3562.86,25.23,8.41
BALKRISIND,Balkrishna Inds,2013.50,37.76,38924.42,0.79,299.46,-18.75,2932.82,6.56,11.18
JBCHEPHARM,J B Chemicals &,2408.90,53.83,38676.99,0.91,101.37,-16.99,904.23,-4.77,25.45
NAVINFLUOR,Navin Fluo.Intl.,7520.00,59.53,38582.50,0.20,212.62,113.03,937.71,33.78,20.96
EXIDEIND,Exide Inds.,443.00,45.34,37655.00,0.45,216.73,15.19,4735.13,9.22,8.54
PWL,Physicswallah,128.05,,37145.85,0.00,-69.14,80.56,918.80,50.72,4.02
PATANJALI,Patanjali Foods,340.95,18.42,37099.06,1.03,524.02,93.24,11155.60,15.10,12.00
ENDURANCE,Endurance Tech.,2634.00,39.69,37050.59,0.44,276.45,17.32,4085.95,37.88,17.80
UBL,United Breweries,1398.60,108.18,36979.70,0.72,101.87,-58.32,2250.07,-3.14,10.68
